id,left,top,right,bottom
146611,629640.000000000000000,8251910.000000000000000,629740.000000000000000,8251810.000000000000000
71146,615940.000000000000000,8222310.000000000000000,616040.000000000000000,8222210.000000000000000
27940,608140.000000000000000,8229510.000000000000000,608240.000000000000000,8229410.000000000000000
146610,629640.000000000000000,8252010.000000000000000,629740.000000000000000,8251910.000000000000000
71149,615940.000000000000000,8222010.000000000000000,616040.000000000000000,8221910.000000000000000
71148,615940.000000000000000,8222110.000000000000000,616040.000000000000000,8222010.000000000000000
27942,608140.000000000000000,8229310.000000000000000,608240.000000000000000,8229210.000000000000000
71151,615940.000000000000000,8221810.000000000000000,616040.000000000000000,8221710.000000000000000
71150,615940.000000000000000,8221910.000000000000000,616040.000000000000000,8221810.000000000000000
71153,615940.000000000000000,8221610.000000000000000,616040.000000000000000,8221510.000000000000000
71152,615940.000000000000000,8221710.000000000000000,616040.000000000000000,8221610.000000000000000
71155,615940.000000000000000,8221410.000000000000000,616040.000000000000000,8221310.000000000000000
71154,615940.000000000000000,8221510.000000000000000,616040.000000000000000,8221410.000000000000000
71156,615940.000000000000000,8221310.000000000000000,616040.000000000000000,8221210.000000000000000
56683,613340.000000000000000,8230810.000000000000000,613440.000000000000000,8230710.000000000000000
36237,609640.000000000000000,8229310.000000000000000,609740.000000000000000,8229210.000000000000000
56682,613340.000000000000000,8230910.000000000000000,613440.000000000000000,8230810.000000000000000
169161,633640.000000000000000,8208910.000000000000000,633740.000000000000000,8208810.000000000000000
56685,613340.000000000000000,8230610.000000000000000,613440.000000000000000,8230510.000000000000000
36239,609640.000000000000000,8229110.000000000000000,609740.000000000000000,8229010.000000000000000
56684,613340.000000000000000,8230710.000000000000000,613440.000000000000000,8230610.000000000000000
36238,609640.000000000000000,8229210.000000000000000,609740.000000000000000,8229110.000000000000000
169163,633640.000000000000000,8208710.000000000000000,633740.000000000000000,8208610.000000000000000
36241,609640.000000000000000,8228910.000000000000000,609740.000000000000000,8228810.000000000000000
169162,633640.000000000000000,8208810.000000000000000,633740.000000000000000,8208710.000000000000000
56686,613340.000000000000000,8230510.000000000000000,613440.000000000000000,8230410.000000000000000
36240,609640.000000000000000,8229010.000000000000000,609740.000000000000000,8228910.000000000000000
169165,633640.000000000000000,8208510.000000000000000,633740.000000000000000,8208410.000000000000000
169164,633640.000000000000000,8208610.000000000000000,633740.000000000000000,8208510.000000000000000
36242,609640.000000000000000,8228810.000000000000000,609740.000000000000000,8228710.000000000000000
169167,633640.000000000000000,8208310.000000000000000,633740.000000000000000,8208210.000000000000000
169166,633640.000000000000000,8208410.000000000000000,633740.000000000000000,8208310.000000000000000
162929,632540.000000000000000,8223810.000000000000000,632640.000000000000000,8223710.000000000000000
162928,632540.000000000000000,8223910.000000000000000,632640.000000000000000,8223810.000000000000000
162931,632540.000000000000000,8223610.000000000000000,632640.000000000000000,8223510.000000000000000
162930,632540.000000000000000,8223710.000000000000000,632640.000000000000000,8223610.000000000000000
162933,632540.000000000000000,8223410.000000000000000,632640.000000000000000,8223310.000000000000000
162932,632540.000000000000000,8223510.000000000000000,632640.000000000000000,8223410.000000000000000
177347,635140.000000000000000,8219810.000000000000000,635240.000000000000000,8219710.000000000000000
162935,632540.000000000000000,8223210.000000000000000,632640.000000000000000,8223110.000000000000000
177349,635140.000000000000000,8219610.000000000000000,635240.000000000000000,8219510.000000000000000
162937,632540.000000000000000,8223010.000000000000000,632640.000000000000000,8222910.000000000000000
177348,635140.000000000000000,8219710.000000000000000,635240.000000000000000,8219610.000000000000000
162936,632540.000000000000000,8223110.000000000000000,632640.000000000000000,8223010.000000000000000
177351,635140.000000000000000,8219410.000000000000000,635240.000000000000000,8219310.000000000000000
177350,635140.000000000000000,8219510.000000000000000,635240.000000000000000,8219410.000000000000000
162938,632540.000000000000000,8222910.000000000000000,632640.000000000000000,8222810.000000000000000
128025,626240.000000000000000,8230310.000000000000000,626340.000000000000000,8230210.000000000000000
128027,626240.000000000000000,8230110.000000000000000,626340.000000000000000,8230010.000000000000000
128026,626240.000000000000000,8230210.000000000000000,626340.000000000000000,8230110.000000000000000
128029,626240.000000000000000,8229910.000000000000000,626340.000000000000000,8229810.000000000000000
128028,626240.000000000000000,8230010.000000000000000,626340.000000000000000,8229910.000000000000000
128031,626240.000000000000000,8229710.000000000000000,626340.000000000000000,8229610.000000000000000
128030,626240.000000000000000,8229810.000000000000000,626340.000000000000000,8229710.000000000000000
42351,610740.000000000000000,8226210.000000000000000,610840.000000000000000,8226110.000000000000000
42350,610740.000000000000000,8226310.000000000000000,610840.000000000000000,8226210.000000000000000
42352,610740.000000000000000,8226110.000000000000000,610840.000000000000000,8226010.000000000000000
77227,617040.000000000000000,8222510.000000000000000,617140.000000000000000,8222410.000000000000000
77226,617040.000000000000000,8222610.000000000000000,617140.000000000000000,8222510.000000000000000
77229,617040.000000000000000,8222310.000000000000000,617140.000000000000000,8222210.000000000000000
120277,624840.000000000000000,8230910.000000000000000,624940.000000000000000,8230810.000000000000000
177337,635140.000000000000000,8220810.000000000000000,635240.000000000000000,8220710.000000000000000
77228,617040.000000000000000,8222410.000000000000000,617140.000000000000000,8222310.000000000000000
177336,635140.000000000000000,8220910.000000000000000,635240.000000000000000,8220810.000000000000000
177339,635140.000000000000000,8220610.000000000000000,635240.000000000000000,8220510.000000000000000
120278,624840.000000000000000,8230810.000000000000000,624940.000000000000000,8230710.000000000000000
177338,635140.000000000000000,8220710.000000000000000,635240.000000000000000,8220610.000000000000000
177341,635140.000000000000000,8220410.000000000000000,635240.000000000000000,8220310.000000000000000
177340,635140.000000000000000,8220510.000000000000000,635240.000000000000000,8220410.000000000000000
177343,635140.000000000000000,8220210.000000000000000,635240.000000000000000,8220110.000000000000000
177342,635140.000000000000000,8220310.000000000000000,635240.000000000000000,8220210.000000000000000
42325,610740.000000000000000,8228810.000000000000000,610840.000000000000000,8228710.000000000000000
175249,634740.000000000000000,8208410.000000000000000,634840.000000000000000,8208310.000000000000000
42327,610740.000000000000000,8228610.000000000000000,610840.000000000000000,8228510.000000000000000
175248,634740.000000000000000,8208510.000000000000000,634840.000000000000000,8208410.000000000000000
42326,610740.000000000000000,8228710.000000000000000,610840.000000000000000,8228610.000000000000000
175251,634740.000000000000000,8208210.000000000000000,634840.000000000000000,8208110.000000000000000
42329,610740.000000000000000,8228410.000000000000000,610840.000000000000000,8228310.000000000000000
175250,634740.000000000000000,8208310.000000000000000,634840.000000000000000,8208210.000000000000000
42328,610740.000000000000000,8228510.000000000000000,610840.000000000000000,8228410.000000000000000
42331,610740.000000000000000,8228210.000000000000000,610840.000000000000000,8228110.000000000000000
42330,610740.000000000000000,8228310.000000000000000,610840.000000000000000,8228210.000000000000000
42333,610740.000000000000000,8228010.000000000000000,610840.000000000000000,8227910.000000000000000
42332,610740.000000000000000,8228110.000000000000000,610840.000000000000000,8228010.000000000000000
126369,625940.000000000000000,8230010.000000000000000,626040.000000000000000,8229910.000000000000000
126368,625940.000000000000000,8230110.000000000000000,626040.000000000000000,8230010.000000000000000
126371,625940.000000000000000,8229810.000000000000000,626040.000000000000000,8229710.000000000000000
126370,625940.000000000000000,8229910.000000000000000,626040.000000000000000,8229810.000000000000000
126373,625940.000000000000000,8229610.000000000000000,626040.000000000000000,8229510.000000000000000
126372,625940.000000000000000,8229710.000000000000000,626040.000000000000000,8229610.000000000000000
126375,625940.000000000000000,8229410.000000000000000,626040.000000000000000,8229310.000000000000000
126374,625940.000000000000000,8229510.000000000000000,626040.000000000000000,8229410.000000000000000
126377,625940.000000000000000,8229210.000000000000000,626040.000000000000000,8229110.000000000000000
126376,625940.000000000000000,8229310.000000000000000,626040.000000000000000,8229210.000000000000000
197809,638840.000000000000000,8219710.000000000000000,638940.000000000000000,8219610.000000000000000
197811,638840.000000000000000,8219510.000000000000000,638940.000000000000000,8219410.000000000000000
197810,638840.000000000000000,8219610.000000000000000,638940.000000000000000,8219510.000000000000000
197813,638840.000000000000000,8219310.000000000000000,638940.000000000000000,8219210.000000000000000
197812,638840.000000000000000,8219410.000000000000000,638940.000000000000000,8219310.000000000000000
48419,611840.000000000000000,8227710.000000000000000,611940.000000000000000,8227610.000000000000000
197815,638840.000000000000000,8219110.000000000000000,638940.000000000000000,8219010.000000000000000
48418,611840.000000000000000,8227810.000000000000000,611940.000000000000000,8227710.000000000000000
197814,638840.000000000000000,8219210.000000000000000,638940.000000000000000,8219110.000000000000000
48420,611840.000000000000000,8227610.000000000000000,611940.000000000000000,8227510.000000000000000
48423,611840.000000000000000,8227310.000000000000000,611940.000000000000000,8227210.000000000000000
48424,611840.000000000000000,8227210.000000000000000,611940.000000000000000,8227110.000000000000000
48427,611840.000000000000000,8226910.000000000000000,611940.000000000000000,8226810.000000000000000
144385,629240.000000000000000,8253310.000000000000000,629340.000000000000000,8253210.000000000000000
144384,629240.000000000000000,8253410.000000000000000,629340.000000000000000,8253310.000000000000000
48428,611840.000000000000000,8226810.000000000000000,611940.000000000000000,8226710.000000000000000
144387,629240.000000000000000,8253110.000000000000000,629340.000000000000000,8253010.000000000000000
144386,629240.000000000000000,8253210.000000000000000,629340.000000000000000,8253110.000000000000000
144391,629240.000000000000000,8252710.000000000000000,629340.000000000000000,8252610.000000000000000
144390,629240.000000000000000,8252810.000000000000000,629340.000000000000000,8252710.000000000000000
175229,634740.000000000000000,8210410.000000000000000,634840.000000000000000,8210310.000000000000000
144393,629240.000000000000000,8252510.000000000000000,629340.000000000000000,8252410.000000000000000
144392,629240.000000000000000,8252610.000000000000000,629340.000000000000000,8252510.000000000000000
144395,629240.000000000000000,8252310.000000000000000,629340.000000000000000,8252210.000000000000000
175230,634740.000000000000000,8210310.000000000000000,634840.000000000000000,8210210.000000000000000
144394,629240.000000000000000,8252410.000000000000000,629340.000000000000000,8252310.000000000000000
144397,629240.000000000000000,8252110.000000000000000,629340.000000000000000,8252010.000000000000000
48441,611840.000000000000000,8225510.000000000000000,611940.000000000000000,8225410.000000000000000
144396,629240.000000000000000,8252210.000000000000000,629340.000000000000000,8252110.000000000000000
68937,615540.000000000000000,8222010.000000000000000,615640.000000000000000,8221910.000000000000000
48442,611840.000000000000000,8225410.000000000000000,611940.000000000000000,8225310.000000000000000
68936,615540.000000000000000,8222110.000000000000000,615640.000000000000000,8222010.000000000000000
48445,611840.000000000000000,8225110.000000000000000,611940.000000000000000,8225010.000000000000000
68939,615540.000000000000000,8221810.000000000000000,615640.000000000000000,8221710.000000000000000
48444,611840.000000000000000,8225210.000000000000000,611940.000000000000000,8225110.000000000000000
68938,615540.000000000000000,8221910.000000000000000,615640.000000000000000,8221810.000000000000000
68941,615540.000000000000000,8221610.000000000000000,615640.000000000000000,8221510.000000000000000
48446,611840.000000000000000,8225010.000000000000000,611940.000000000000000,8224910.000000000000000
68940,615540.000000000000000,8221710.000000000000000,615640.000000000000000,8221610.000000000000000
68943,615540.000000000000000,8221410.000000000000000,615640.000000000000000,8221310.000000000000000
68942,615540.000000000000000,8221510.000000000000000,615640.000000000000000,8221410.000000000000000
68944,615540.000000000000000,8221310.000000000000000,615640.000000000000000,8221210.000000000000000
33517,609140.000000000000000,8224810.000000000000000,609240.000000000000000,8224710.000000000000000
33519,609140.000000000000000,8224610.000000000000000,609240.000000000000000,8224510.000000000000000
33518,609140.000000000000000,8224710.000000000000000,609240.000000000000000,8224610.000000000000000
48409,611840.000000000000000,8228710.000000000000000,611940.000000000000000,8228610.000000000000000
48411,611840.000000000000000,8228510.000000000000000,611940.000000000000000,8228410.000000000000000
48410,611840.000000000000000,8228610.000000000000000,611940.000000000000000,8228510.000000000000000
48413,611840.000000000000000,8228310.000000000000000,611940.000000000000000,8228210.000000000000000
48412,611840.000000000000000,8228410.000000000000000,611940.000000000000000,8228310.000000000000000
48415,611840.000000000000000,8228110.000000000000000,611940.000000000000000,8228010.000000000000000
48414,611840.000000000000000,8228210.000000000000000,611940.000000000000000,8228110.000000000000000
33475,609140.000000000000000,8229010.000000000000000,609240.000000000000000,8228910.000000000000000
33474,609140.000000000000000,8229110.000000000000000,609240.000000000000000,8229010.000000000000000
33477,609140.000000000000000,8228810.000000000000000,609240.000000000000000,8228710.000000000000000
33476,609140.000000000000000,8228910.000000000000000,609240.000000000000000,8228810.000000000000000
33479,609140.000000000000000,8228610.000000000000000,609240.000000000000000,8228510.000000000000000
33478,609140.000000000000000,8228710.000000000000000,609240.000000000000000,8228610.000000000000000
33481,609140.000000000000000,8228410.000000000000000,609240.000000000000000,8228310.000000000000000
33480,609140.000000000000000,8228510.000000000000000,609240.000000000000000,8228410.000000000000000
33482,609140.000000000000000,8228310.000000000000000,609240.000000000000000,8228210.000000000000000
47855,611740.000000000000000,8228810.000000000000000,611840.000000000000000,8228710.000000000000000
181759,635940.000000000000000,8221010.000000000000000,636040.000000000000000,8220910.000000000000000
33491,609140.000000000000000,8227410.000000000000000,609240.000000000000000,8227310.000000000000000
181758,635940.000000000000000,8221110.000000000000000,636040.000000000000000,8221010.000000000000000
47857,611740.000000000000000,8228610.000000000000000,611840.000000000000000,8228510.000000000000000
33493,609140.000000000000000,8227210.000000000000000,609240.000000000000000,8227110.000000000000000
47856,611740.000000000000000,8228710.000000000000000,611840.000000000000000,8228610.000000000000000
33492,609140.000000000000000,8227310.000000000000000,609240.000000000000000,8227210.000000000000000
47859,611740.000000000000000,8228410.000000000000000,611840.000000000000000,8228310.000000000000000
47858,611740.000000000000000,8228510.000000000000000,611840.000000000000000,8228410.000000000000000
33494,609140.000000000000000,8227110.000000000000000,609240.000000000000000,8227010.000000000000000
47861,611740.000000000000000,8228210.000000000000000,611840.000000000000000,8228110.000000000000000
47860,611740.000000000000000,8228310.000000000000000,611840.000000000000000,8228210.000000000000000
47863,611740.000000000000000,8228010.000000000000000,611840.000000000000000,8227910.000000000000000
47862,611740.000000000000000,8228110.000000000000000,611840.000000000000000,8228010.000000000000000
47864,611740.000000000000000,8227910.000000000000000,611840.000000000000000,8227810.000000000000000
75011,616640.000000000000000,8222910.000000000000000,616740.000000000000000,8222810.000000000000000
75013,616640.000000000000000,8222710.000000000000000,616740.000000000000000,8222610.000000000000000
75012,616640.000000000000000,8222810.000000000000000,616740.000000000000000,8222710.000000000000000
75015,616640.000000000000000,8222510.000000000000000,616740.000000000000000,8222410.000000000000000
118063,624440.000000000000000,8231110.000000000000000,624540.000000000000000,8231010.000000000000000
75014,616640.000000000000000,8222610.000000000000000,616740.000000000000000,8222510.000000000000000
75017,616640.000000000000000,8222310.000000000000000,616740.000000000000000,8222210.000000000000000
175125,634740.000000000000000,8220810.000000000000000,634840.000000000000000,8220710.000000000000000
118065,624440.000000000000000,8230910.000000000000000,624540.000000000000000,8230810.000000000000000
75016,616640.000000000000000,8222410.000000000000000,616740.000000000000000,8222310.000000000000000
118064,624440.000000000000000,8231010.000000000000000,624540.000000000000000,8230910.000000000000000
75019,616640.000000000000000,8222110.000000000000000,616740.000000000000000,8222010.000000000000000
118067,624440.000000000000000,8230710.000000000000000,624540.000000000000000,8230610.000000000000000
75018,616640.000000000000000,8222210.000000000000000,616740.000000000000000,8222110.000000000000000
175126,634740.000000000000000,8220710.000000000000000,634840.000000000000000,8220610.000000000000000
118066,624440.000000000000000,8230810.000000000000000,624540.000000000000000,8230710.000000000000000
75021,616640.000000000000000,8221910.000000000000000,616740.000000000000000,8221810.000000000000000
75020,616640.000000000000000,8222010.000000000000000,616740.000000000000000,8221910.000000000000000
118068,624440.000000000000000,8230610.000000000000000,624540.000000000000000,8230510.000000000000000
75022,616640.000000000000000,8221810.000000000000000,616740.000000000000000,8221710.000000000000000
118075,624440.000000000000000,8229910.000000000000000,624540.000000000000000,8229810.000000000000000
118077,624440.000000000000000,8229710.000000000000000,624540.000000000000000,8229610.000000000000000
118076,624440.000000000000000,8229810.000000000000000,624540.000000000000000,8229710.000000000000000
118079,624440.000000000000000,8229510.000000000000000,624540.000000000000000,8229410.000000000000000
118078,624440.000000000000000,8229610.000000000000000,624540.000000000000000,8229510.000000000000000
167361,633340.000000000000000,8223010.000000000000000,633440.000000000000000,8222910.000000000000000
167360,633340.000000000000000,8223110.000000000000000,633440.000000000000000,8223010.000000000000000
60049,613940.000000000000000,8226010.000000000000000,614040.000000000000000,8225910.000000000000000
167363,633340.000000000000000,8222810.000000000000000,633440.000000000000000,8222710.000000000000000
173557,634440.000000000000000,8211710.000000000000000,634540.000000000000000,8211610.000000000000000
167362,633340.000000000000000,8222910.000000000000000,633440.000000000000000,8222810.000000000000000
60051,613940.000000000000000,8225810.000000000000000,614040.000000000000000,8225710.000000000000000
60050,613940.000000000000000,8225910.000000000000000,614040.000000000000000,8225810.000000000000000
74465,616540.000000000000000,8222210.000000000000000,616640.000000000000000,8222110.000000000000000
167364,633340.000000000000000,8222710.000000000000000,633440.000000000000000,8222610.000000000000000
173559,634440.000000000000000,8211510.000000000000000,634540.000000000000000,8211410.000000000000000
60053,613940.000000000000000,8225610.000000000000000,614040.000000000000000,8225510.000000000000000
74464,616540.000000000000000,8222310.000000000000000,616640.000000000000000,8222210.000000000000000
173558,634440.000000000000000,8211610.000000000000000,634540.000000000000000,8211510.000000000000000
60052,613940.000000000000000,8225710.000000000000000,614040.000000000000000,8225610.000000000000000
74467,616540.000000000000000,8222010.000000000000000,616640.000000000000000,8221910.000000000000000
173561,634440.000000000000000,8211310.000000000000000,634540.000000000000000,8211210.000000000000000
60055,613940.000000000000000,8225410.000000000000000,614040.000000000000000,8225310.000000000000000
74466,616540.000000000000000,8222110.000000000000000,616640.000000000000000,8222010.000000000000000
173560,634440.000000000000000,8211410.000000000000000,634540.000000000000000,8211310.000000000000000
60054,613940.000000000000000,8225510.000000000000000,614040.000000000000000,8225410.000000000000000
74469,616540.000000000000000,8221810.000000000000000,616640.000000000000000,8221710.000000000000000
173563,634440.000000000000000,8211110.000000000000000,634540.000000000000000,8211010.000000000000000
74468,616540.000000000000000,8221910.000000000000000,616640.000000000000000,8221810.000000000000000
173562,634440.000000000000000,8211210.000000000000000,634540.000000000000000,8211110.000000000000000
60056,613940.000000000000000,8225310.000000000000000,614040.000000000000000,8225210.000000000000000
142727,628940.000000000000000,8253210.000000000000000,629040.000000000000000,8253110.000000000000000
74471,616540.000000000000000,8221610.000000000000000,616640.000000000000000,8221510.000000000000000
173565,634440.000000000000000,8210910.000000000000000,634540.000000000000000,8210810.000000000000000
31265,608740.000000000000000,8228810.000000000000000,608840.000000000000000,8228710.000000000000000
142726,628940.000000000000000,8253310.000000000000000,629040.000000000000000,8253210.000000000000000
173564,634440.000000000000000,8211010.000000000000000,634540.000000000000000,8210910.000000000000000
31264,608740.000000000000000,8228910.000000000000000,608840.000000000000000,8228810.000000000000000
142729,628940.000000000000000,8253010.000000000000000,629040.000000000000000,8252910.000000000000000
173567,634440.000000000000000,8210710.000000000000000,634540.000000000000000,8210610.000000000000000
31267,608740.000000000000000,8228610.000000000000000,608840.000000000000000,8228510.000000000000000
142728,628940.000000000000000,8253110.000000000000000,629040.000000000000000,8253010.000000000000000
74472,616540.000000000000000,8221510.000000000000000,616640.000000000000000,8221410.000000000000000
173566,634440.000000000000000,8210810.000000000000000,634540.000000000000000,8210710.000000000000000
31266,608740.000000000000000,8228710.000000000000000,608840.000000000000000,8228610.000000000000000
142731,628940.000000000000000,8252810.000000000000000,629040.000000000000000,8252710.000000000000000
31269,608740.000000000000000,8228410.000000000000000,608840.000000000000000,8228310.000000000000000
39553,610240.000000000000000,8229510.000000000000000,610340.000000000000000,8229410.000000000000000
148813,630040.000000000000000,8252910.000000000000000,630140.000000000000000,8252810.000000000000000
142730,628940.000000000000000,8252910.000000000000000,629040.000000000000000,8252810.000000000000000
31268,608740.000000000000000,8228510.000000000000000,608840.000000000000000,8228410.000000000000000
148812,630040.000000000000000,8253010.000000000000000,630140.000000000000000,8252910.000000000000000
142733,628940.000000000000000,8252610.000000000000000,629040.000000000000000,8252510.000000000000000
39555,610240.000000000000000,8229310.000000000000000,610340.000000000000000,8229210.000000000000000
132455,627040.000000000000000,8229710.000000000000000,627140.000000000000000,8229610.000000000000000
148815,630040.000000000000000,8252710.000000000000000,630140.000000000000000,8252610.000000000000000
142732,628940.000000000000000,8252710.000000000000000,629040.000000000000000,8252610.000000000000000
39554,610240.000000000000000,8229410.000000000000000,610340.000000000000000,8229310.000000000000000
148814,630040.000000000000000,8252810.000000000000000,630140.000000000000000,8252710.000000000000000
142735,628940.000000000000000,8252410.000000000000000,629040.000000000000000,8252310.000000000000000
39557,610240.000000000000000,8229110.000000000000000,610340.000000000000000,8229010.000000000000000
142734,628940.000000000000000,8252510.000000000000000,629040.000000000000000,8252410.000000000000000
39556,610240.000000000000000,8229210.000000000000000,610340.000000000000000,8229110.000000000000000
132456,627040.000000000000000,8229610.000000000000000,627140.000000000000000,8229510.000000000000000
39559,610240.000000000000000,8228910.000000000000000,610340.000000000000000,8228810.000000000000000
142736,628940.000000000000000,8252310.000000000000000,629040.000000000000000,8252210.000000000000000
39558,610240.000000000000000,8229010.000000000000000,610340.000000000000000,8228910.000000000000000
39561,610240.000000000000000,8228710.000000000000000,610340.000000000000000,8228610.000000000000000
39560,610240.000000000000000,8228810.000000000000000,610340.000000000000000,8228710.000000000000000
39562,610240.000000000000000,8228610.000000000000000,610340.000000000000000,8228510.000000000000000
31281,608740.000000000000000,8227210.000000000000000,608840.000000000000000,8227110.000000000000000
159057,631840.000000000000000,8223910.000000000000000,631940.000000000000000,8223810.000000000000000
159056,631840.000000000000000,8224010.000000000000000,631940.000000000000000,8223910.000000000000000
159059,631840.000000000000000,8223710.000000000000000,631940.000000000000000,8223610.000000000000000
159058,631840.000000000000000,8223810.000000000000000,631940.000000000000000,8223710.000000000000000
159061,631840.000000000000000,8223510.000000000000000,631940.000000000000000,8223410.000000000000000
159060,631840.000000000000000,8223610.000000000000000,631940.000000000000000,8223510.000000000000000
167357,633340.000000000000000,8223410.000000000000000,633440.000000000000000,8223310.000000000000000
167359,633340.000000000000000,8223210.000000000000000,633440.000000000000000,8223110.000000000000000
74459,616540.000000000000000,8222810.000000000000000,616640.000000000000000,8222710.000000000000000
74458,616540.000000000000000,8222910.000000000000000,616640.000000000000000,8222810.000000000000000
74461,616540.000000000000000,8222610.000000000000000,616640.000000000000000,8222510.000000000000000
136525,627740.000000000000000,8209810.000000000000000,627840.000000000000000,8209710.000000000000000
74460,616540.000000000000000,8222710.000000000000000,616640.000000000000000,8222610.000000000000000
136524,627740.000000000000000,8209910.000000000000000,627840.000000000000000,8209810.000000000000000
74463,616540.000000000000000,8222410.000000000000000,616640.000000000000000,8222310.000000000000000
